                                                                                                                                    
{'loss': 3.8655, 'grad_norm': 2.0756118297576904, 'learning_rate': 0.0001999964908278481, 'epoch': 0.01}
{'loss': 0.0, 'grad_norm': 0.00011328627442708239, 'learning_rate': 0.00017514944717726962, 'epoch': 0.69}
{'loss': 0.0, 'grad_norm': 0.00011154312232974917, 'learning_rate': 0.00017459411454241822, 'epoch': 0.7}
{'loss': 0.0, 'grad_norm': 0.00011050862667616457, 'learning_rate': 0.00017403354663577783, 'epoch': 0.7}
{'loss': 0.0, 'grad_norm': 0.00010901687346631661, 'learning_rate': 0.00017346778279993415, 'epoch': 0.71}
{'loss': 0.0, 'grad_norm': 0.00010616504732752219, 'learning_rate': 0.00017289686274214118, 'epoch': 0.72}
{'loss': 0.0, 'grad_norm': 0.00010569266305537894, 'learning_rate': 0.00017232082653153422, 'epoch': 0.73}
{'loss': 0.0, 'grad_norm': 0.00010534450848354027, 'learning_rate': 0.00017173971459631787, 'epoch': 0.74}
{'loss': 0.0, 'grad_norm': 0.0001028808401315473, 'learning_rate': 0.00017115356772092857, 'epoch': 0.74}
{'loss': 0.0, 'grad_norm': 0.00010351338278269395, 'learning_rate': 0.0001705624270431721, 'epoch': 0.75}
{'loss': 0.0, 'grad_norm': 0.00010056286555482075, 'learning_rate': 0.00016996633405133655, 'epoch': 0.76}
{'loss': 0.0, 'grad_norm': 0.00010059519991045818, 'learning_rate': 0.0001693653305812805, 'epoch': 0.77}
{'loss': 0.0, 'grad_norm': 9.857099939836189e-05, 'learning_rate': 0.00016875945881349676, 'epoch': 0.78}
{'loss': 0.0, 'grad_norm': 9.937577851815149e-05, 'learning_rate': 0.000168148761270152, 'epoch': 0.78}
{'loss': 0.0, 'grad_norm': 9.658348426455632e-05, 'learning_rate': 0.00016753328081210245, 'epoch': 0.79}
{'loss': 0.0, 'grad_norm': 9.948405931936577e-05, 'learning_rate': 0.00016691306063588583, 'epoch': 0.8}
{'loss': 0.0, 'grad_norm': 9.540135943097994e-05, 'learning_rate': 0.00016628814427068953, 'epoch': 0.81}
{'loss': 0.0, 'grad_norm': 9.45318242884241e-05, 'learning_rate': 0.00016565857557529566, 'epoch': 0.82}
{'loss': 0.0, 'grad_norm': 9.346257138531655e-05, 'learning_rate': 0.00016502439873500289, 'epoch': 0.82}
{'loss': 0.0, 'grad_norm': 9.198280895361677e-05, 'learning_rate': 0.0001643856582585254, 'epoch': 0.83}
{'loss': 0.0, 'grad_norm': 9.08234651433304e-05, 'learning_rate': 0.000163742398974869, 'epoch': 0.84}
{'loss': 0.0, 'grad_norm': 9.051724919117987e-05, 'learning_rate': 0.00016309466603018496, 'epoch': 0.85}
{'loss': 0.0, 'grad_norm': 8.855522173689678e-05, 'learning_rate': 0.00016244250488460158, 'epoch': 0.86}
{'loss': 0.0, 'grad_norm': 8.700088073965162e-05, 'learning_rate': 0.00016178596130903344, 'epoch': 0.86}
{'loss': 0.0, 'grad_norm': 8.78202190506272e-05, 'learning_rate': 0.00016112508138196917, 'epoch': 0.87}
{'loss': 0.0, 'grad_norm': 8.737616008147597e-05, 'learning_rate': 0.0001604599114862375, 'epoch': 0.88}
{'loss': 0.0, 'grad_norm': 8.737156167626381e-05, 'learning_rate': 0.0001597904983057519, 'epoch': 0.89}
{'loss': 0.0, 'grad_norm': 8.510617772117257e-05, 'learning_rate': 0.0001591168888222342, 'epoch': 0.9}
{'loss': 0.0, 'grad_norm': 8.3960585470777e-05, 'learning_rate': 0.00015843913031191723, 'epoch': 0.9}
{'loss': 0.0, 'grad_norm': 8.498520037392154e-05, 'learning_rate': 0.00015775727034222675, 'epoch': 0.91}
{'loss': 0.0, 'grad_norm': 8.411239105043933e-05, 'learning_rate': 0.0001570713567684432, 'epoch': 0.92}
{'loss': 0.0, 'grad_norm': 8.365631947526708e-05, 'learning_rate': 0.00015638143773034267, 'epoch': 0.93}
{'loss': 0.0, 'grad_norm': 8.286650700028986e-05, 'learning_rate': 0.00015568756164881882, 'epoch': 0.94}
{'loss': 0.0, 'grad_norm': 8.185692422557622e-05, 'learning_rate': 0.000154989777222484, 'epoch': 0.94}
{'loss': 0.0, 'grad_norm': 8.20706263766624e-05, 'learning_rate': 0.00015428813342425177, 'epoch': 0.95}
{'loss': 0.0, 'grad_norm': 7.953600288601592e-05, 'learning_rate': 0.00015358267949789966, 'epoch': 0.96}
{'loss': 0.0, 'grad_norm': 8.129051275318488e-05, 'learning_rate': 0.00015287346495461315, 'epoch': 0.97}
{'loss': 0.0, 'grad_norm': 7.89429759606719e-05, 'learning_rate': 0.0001521605395695108, 'epoch': 0.98}
{'loss': 0.0, 'grad_norm': 7.855718286009505e-05, 'learning_rate': 0.00015144395337815064, 'epoch': 0.98}
{'loss': 0.0, 'grad_norm': 7.821944745955989e-05, 'learning_rate': 0.00015072375667301893, 'epoch': 0.99}
{'loss': 0.0, 'grad_norm': 7.715128595009446e-05, 'learning_rate': 0.00015000000000000001, 'epoch': 1.0}
{'loss': 0.0, 'grad_norm': 7.728450145805255e-05, 'learning_rate': 0.00014927273415482915, 'epoch': 1.01}
{'loss': 0.0, 'grad_norm': 7.69050675444305e-05, 'learning_rate': 0.0001485420101795274, 'epoch': 1.02}
{'loss': 0.0, 'grad_norm': 7.488018309231848e-05, 'learning_rate': 0.00014780787935881923, 'epoch': 1.02}
{'loss': 0.0, 'grad_norm': 7.425200601574033e-05, 'learning_rate': 0.0001470703932165333, 'epoch': 1.03}
{'loss': 0.0, 'grad_norm': 7.476237078662962e-05, 'learning_rate': 0.00014632960351198618, 'epoch': 1.04}
{'loss': 0.0, 'grad_norm': 7.468691183021292e-05, 'learning_rate': 0.00014558556223635003, 'epoch': 1.05}
{'loss': 0.0, 'grad_norm': 7.482652290491387e-05, 'learning_rate': 0.00014483832160900326, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 7.33638516976498e-05, 'learning_rate': 0.00014408793407386588, 'epoch': 1.06}
{'loss': 0.0, 'grad_norm': 7.314563117688522e-05, 'learning_rate': 0.00014333445229571873, 'epoch': 1.07}
{'loss': 0.0, 'grad_norm': 7.228340837173164e-05, 'learning_rate': 0.00014257792915650728, 'epoch': 1.08}
{'loss': 0.0, 'grad_norm': 7.242483115987852e-05, 'learning_rate': 0.00014181841775163013, 'epoch': 1.09}
{'loss': 0.0, 'grad_norm': 7.169035234255716e-05, 'learning_rate': 0.0001410559713862128, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': 7.158487278502434e-05, 'learning_rate': 0.00014029064357136628, 'epoch': 1.1}
{'loss': 0.0, 'grad_norm': 7.137854845495895e-05, 'learning_rate': 0.00013952248802043165, 'epoch': 1.11}
{'loss': 0.0, 'grad_norm': 7.104012911440805e-05, 'learning_rate': 0.0001387515586452103, 'epoch': 1.12}
{'loss': 0.0, 'grad_norm': 7.038171315798536e-05, 'learning_rate': 0.00013797790955218014, 'epoch': 1.13}
{'loss': 0.0, 'grad_norm': 7.00704549672082e-05, 'learning_rate': 0.00013720159503869815, 'epoch': 1.14}
{'loss': 0.0, 'grad_norm': 7.061348151182756e-05, 'learning_rate': 0.00013642266958918984, 'epoch': 1.14}
{'loss': 0.0, 'grad_norm': 6.930759991519153e-05, 'learning_rate': 0.00013564118787132506, 'epoch': 1.15}
{'loss': 0.0, 'grad_norm': 6.881482113385573e-05, 'learning_rate': 0.00013485720473218154, 'epoch': 1.16}
{'loss': 0.0, 'grad_norm': 6.781656702514738e-05, 'learning_rate': 0.0001340707751943952, 'epoch': 1.17}
{'loss': 0.0, 'grad_norm': 6.848847260698676e-05, 'learning_rate': 0.00013328195445229868, 'epoch': 1.18}
{'loss': 0.0, 'grad_norm': 6.837442197138444e-05, 'learning_rate': 0.00013249079786804765, 'epoch': 1.18}
{'loss': 0.0, 'grad_norm': 6.724854029016569e-05, 'learning_rate': 0.0001316973609677352, 'epoch': 1.19}
{'loss': 0.0, 'grad_norm': 6.70602239551954e-05, 'learning_rate': 0.00013090169943749476, 'epoch': 1.2}
{'loss': 0.0, 'grad_norm': 6.64370454614982e-05, 'learning_rate': 0.00013010386911959206, 'epoch': 1.21}
{'loss': 0.0, 'grad_norm': 6.561284681083634e-05, 'learning_rate': 0.00012930392600850573, 'epoch': 1.22}
{'loss': 0.0, 'grad_norm': 6.542437040479854e-05, 'learning_rate': 0.0001285019262469976, 'epoch': 1.22}
{'loss': 0.0, 'grad_norm': 6.529725214932114e-05, 'learning_rate': 0.00012769792612217224, 'epoch': 1.23}
{'loss': 0.0, 'grad_norm': 6.370414484990761e-05, 'learning_rate': 0.00012689198206152657, 'epoch': 1.24}
{'loss': 0.0, 'grad_norm': 6.470582593465224e-05, 'learning_rate': 0.00012608415062898972, 'epoch': 1.25}
{'loss': 0.0, 'grad_norm': 6.492668035207316e-05, 'learning_rate': 0.00012527448852095295, 'epoch': 1.26}
{'loss': 0.0, 'grad_norm': 6.393415969796479e-05, 'learning_rate': 0.00012446305256229073, 'epoch': 1.26}
{'loss': 0.0, 'grad_norm': 6.501573807327077e-05, 'learning_rate': 0.00012364989970237248, 'epoch': 1.27}
{'loss': 0.0, 'grad_norm': 6.307830335572362e-05, 'learning_rate': 0.00012283508701106557, 'epoch': 1.28}
{'loss': 0.0, 'grad_norm': 6.337310333037749e-05, 'learning_rate': 0.00012201867167473015, 'epoch': 1.29}
{'loss': 0.0, 'grad_norm': 6.240098446141928e-05, 'learning_rate': 0.00012120071099220549, 'epoch': 1.3}
{'loss': 0.0, 'grad_norm': 6.275268970057368e-05, 'learning_rate': 0.0001203812623707885, 'epoch': 1.3}
{'loss': 0.0, 'grad_norm': 6.082321851863526e-05, 'learning_rate': 0.00011956038332220483, 'epoch': 1.31}
{'loss': 0.0, 'grad_norm': 6.125767686171457e-05, 'learning_rate': 0.00011873813145857249, 'epoch': 1.32}
{'loss': 0.0, 'grad_norm': 6.246352131711319e-05, 'learning_rate': 0.00011791456448835825, 'epoch': 1.33}
{'loss': 0.0, 'grad_norm': 5.936481829849072e-05, 'learning_rate': 0.00011708974021232769, 'epoch': 1.34}
{'loss': 0.0, 'grad_norm': 5.9373680414864793e-05, 'learning_rate': 0.00011626371651948838, 'epoch': 1.34}
{'loss': 0.0, 'grad_norm': 5.9924524975940585e-05, 'learning_rate': 0.00011543655138302714, 'epoch': 1.35}
{'loss': 0.0, 'grad_norm': 5.904039062443189e-05, 'learning_rate': 0.00011460830285624118, 'epoch': 1.36}
{'loss': 0.0, 'grad_norm': 5.827489076182246e-05, 'learning_rate': 0.0001137790290684638, 'epoch': 1.37}
{'loss': 0.0, 'grad_norm': 5.8092082326766104e-05, 'learning_rate': 0.00011294878822098469, 'epoch': 1.38}
{'loss': 0.0, 'grad_norm': 5.8875095419352874e-05, 'learning_rate': 0.00011211763858296507, 'epoch': 1.38}
{'loss': 0.0, 'grad_norm': 5.864202103111893e-05, 'learning_rate': 0.00011128563848734816, 'epoch': 1.39}
{'loss': 0.0, 'grad_norm': 5.773415614385158e-05, 'learning_rate': 0.00011045284632676536, 'epoch': 1.4}
{'loss': 0.0, 'grad_norm': 5.8245517720934004e-05, 'learning_rate': 0.00010961932054943778, 'epoch': 1.41}
{'loss': 0.0, 'grad_norm': 5.77130849706009e-05, 'learning_rate': 0.00010878511965507434, 'epoch': 1.42}
{'loss': 0.0, 'grad_norm': 5.703522401745431e-05, 'learning_rate': 0.00010795030219076599, 'epoch': 1.42}
{'loss': 0.0, 'grad_norm': 5.820735532324761e-05, 'learning_rate': 0.00010711492674687671, 'epoch': 1.43}
{'loss': 0.0, 'grad_norm': 5.651470928569324e-05, 'learning_rate': 0.00010627905195293135, 'epoch': 1.44}
{'loss': 0.0, 'grad_norm': 5.681329275830649e-05, 'learning_rate': 0.00010544273647350092, 'epoch': 1.45}
{'loss': 0.0, 'grad_norm': 5.831288581248373e-05, 'learning_rate': 0.00010460603900408523, 'epoch': 1.46}
{'loss': 0.0, 'grad_norm': 5.627714199363254e-05, 'learning_rate': 0.00010376901826699348, 'epoch': 1.46}
{'loss': 0.0, 'grad_norm': 5.5711803724989295e-05, 'learning_rate': 0.00010293173300722285, 'epoch': 1.47}
{'loss': 0.0, 'grad_norm': 5.593596870312467e-05, 'learning_rate': 0.0001020942419883357, 'epoch': 1.48}
{'loss': 0.0, 'grad_norm': 5.549852721742354e-05, 'learning_rate': 0.00010125660398833528, 'epoch': 1.49}
{'loss': 0.0, 'grad_norm': 5.486445297719911e-05, 'learning_rate': 0.0001004188777955404, 'epoch': 1.5}
{'loss': 0.0, 'grad_norm': 5.547679393202998e-05, 'learning_rate': 9.958112220445963e-05, 'epoch': 1.5}
{'loss': 0.0, 'grad_norm': 5.4645133786834776e-05, 'learning_rate': 9.874339601166473e-05, 'epoch': 1.51}
{'loss': 0.0, 'grad_norm': 5.4525487939827144e-05, 'learning_rate': 9.790575801166432e-05, 'epoch': 1.52}
{'loss': 0.0, 'grad_norm': 5.498814789461903e-05, 'learning_rate': 9.706826699277718e-05, 'epoch': 1.53}
{'loss': 0.0, 'grad_norm': 5.672273982781917e-05, 'learning_rate': 9.623098173300654e-05, 'epoch': 1.54}
{'loss': 0.0, 'grad_norm': 5.452186815091409e-05, 'learning_rate': 9.539396099591476e-05, 'epoch': 1.54}
{'loss': 0.0, 'grad_norm': 5.324975791154429e-05, 'learning_rate': 9.455726352649911e-05, 'epoch': 1.55}
{'loss': 0.0, 'grad_norm': 5.3631054470315576e-05, 'learning_rate': 9.372094804706867e-05, 'epoch': 1.56}
{'loss': 0.0, 'grad_norm': 5.572426016442478e-05, 'learning_rate': 9.288507325312335e-05, 'epoch': 1.57}
{'loss': 0.0, 'grad_norm': 5.461980981635861e-05, 'learning_rate': 9.204969780923403e-05, 'epoch': 1.58}
{'loss': 0.0, 'grad_norm': 5.4324278607964516e-05, 'learning_rate': 9.121488034492569e-05, 'epoch': 1.58}
{'loss': 0.0, 'grad_norm': 5.2598810725612566e-05, 'learning_rate': 9.038067945056227e-05, 'epoch': 1.59}
{'loss': 0.0, 'grad_norm': 5.323543518898077e-05, 'learning_rate': 8.954715367323468e-05, 'epoch': 1.6}
{'loss': 0.0, 'grad_norm': 5.318547482602298e-05, 'learning_rate': 8.871436151265184e-05, 'epoch': 1.61}
{'loss': 0.0, 'grad_norm': 5.2429888455662876e-05, 'learning_rate': 8.788236141703498e-05, 'epoch': 1.62}
{'loss': 0.0, 'grad_norm': 5.2517378207994625e-05, 'learning_rate': 8.705121177901532e-05, 'epoch': 1.62}
{'loss': 0.0, 'grad_norm': 5.206073183217086e-05, 'learning_rate': 8.62209709315362e-05, 'epoch': 1.63}
{'loss': 0.0, 'grad_norm': 5.220703314989805e-05, 'learning_rate': 8.539169714375885e-05, 'epoch': 1.64}
{'loss': 0.0, 'grad_norm': 5.3825082432013005e-05, 'learning_rate': 8.456344861697289e-05, 'epoch': 1.65}
{'loss': 0.0, 'grad_norm': 5.2793639042647555e-05, 'learning_rate': 8.373628348051165e-05, 'epoch': 1.66}
{'loss': 0.0, 'grad_norm': 5.1029845053562894e-05, 'learning_rate': 8.291025978767235e-05, 'epoch': 1.66}
{'loss': 0.0, 'grad_norm': 5.0723559979815036e-05, 'learning_rate': 8.208543551164178e-05, 'epoch': 1.67}
{'loss': 0.0, 'grad_norm': 5.132035948918201e-05, 'learning_rate': 8.126186854142752e-05, 'epoch': 1.68}
{'loss': 0.0, 'grad_norm': 5.154207974555902e-05, 'learning_rate': 8.04396166777952e-05, 'epoch': 1.69}
{'loss': 0.0, 'grad_norm': 5.08830817125272e-05, 'learning_rate': 7.961873762921153e-05, 'epoch': 1.7}
{'loss': 0.0, 'grad_norm': 5.0978193030459806e-05, 'learning_rate': 7.879928900779456e-05, 'epoch': 1.7}
{'loss': 0.0, 'grad_norm': 5.115500243846327e-05, 'learning_rate': 7.798132832526986e-05, 'epoch': 1.71}
{'loss': 0.0, 'grad_norm': 5.126479300088249e-05, 'learning_rate': 7.716491298893442e-05, 'epoch': 1.72}
{'loss': 0.0, 'grad_norm': 4.97362416354008e-05, 'learning_rate': 7.635010029762756e-05, 'epoch': 1.73}
{'loss': 0.0, 'grad_norm': 5.0746228225762025e-05, 'learning_rate': 7.553694743770928e-05, 'epoch': 1.74}
{'loss': 0.0, 'grad_norm': 5.0798338634194806e-05, 'learning_rate': 7.472551147904708e-05, 'epoch': 1.74}
{'loss': 0.0, 'grad_norm': 5.078973845229484e-05, 'learning_rate': 7.391584937101033e-05, 'epoch': 1.75}
{'loss': 0.0, 'grad_norm': 4.9146499804919586e-05, 'learning_rate': 7.310801793847344e-05, 'epoch': 1.76}
{'loss': 0.0, 'grad_norm': 4.948822970618494e-05, 'learning_rate': 7.230207387782776e-05, 'epoch': 1.77}
{'loss': 0.0, 'grad_norm': 4.9460701120551676e-05, 'learning_rate': 7.149807375300239e-05, 'epoch': 1.78}
{'loss': 0.0, 'grad_norm': 4.8528167098993436e-05, 'learning_rate': 7.069607399149428e-05, 'epoch': 1.78}
{'loss': 0.0, 'grad_norm': 5.072829662822187e-05, 'learning_rate': 6.989613088040796e-05, 'epoch': 1.79}
{'loss': 0.0, 'grad_norm': 4.835973959416151e-05, 'learning_rate': 6.909830056250527e-05, 'epoch': 1.8}
{'loss': 0.0, 'grad_norm': 4.91043902002275e-05, 'learning_rate': 6.830263903226483e-05, 'epoch': 1.81}
{'loss': 0.0, 'grad_norm': 4.924148743157275e-05, 'learning_rate': 6.750920213195238e-05, 'epoch': 1.82}
{'loss': 0.0, 'grad_norm': 4.9111251428257674e-05, 'learning_rate': 6.671804554770135e-05, 'epoch': 1.82}
