concept,task_description
stacking,"## Given concept: stacking
## Puzzle description:
In the input, you will see a grid of colored pixels forming a representation of stacked blocks, where each color represents a different block. The output should be a grid where the blocks are visually 'stacked' to simulate a vertical arrangement. This means the colors should be aligned at the bottom of the grid, and any empty space above should be cleared out, leaving the blocks resting on each other as if gravity applied, mimicking a tower of blocks."
nesting,"In the input, you will see a grid of colored pixels where smaller sets of colored squares are contained entirely within larger squares of the same color. The output will be a grid that maintains the nesting structure but will swap the inner colors with a distinct color not originally in the grid, effectively highlighting the nested relationships."
squeezing,"## given concept: squeezing
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be a grid that is the result of squeezing the input grid horizontally by removing every second column of pixels. If the input grid has an odd number of columns, the last column should be included in the output."
centering,"In the input, you will see a grid of colored pixels. The output should be a grid where each color pixel from the input grid is shifted to the center of the output grid. For example, if the input grid is 5x5, the output grid will also be 5x5, with the color from the input's pixel in (2,2) becoming the pixel in the output located at (2,2), and any pixels in the input that are closer to the edge getting adjusted to fit around the center of the output grid."
count mapping,"In the input, you will see a grid of colored pixels with various colors. The output should be a grid where each colored pixel is replaced by the count of that color in the entire input grid. For example, if the input grid has 5 blue, 3 red, 2 yellow, and 4 green pixels, the output grid will replace each blue pixel with '5', each red pixel with '3', each yellow pixel with '2', and each green pixel with '4'. Any color not present in the input grid should not appear in the output grid."
stretching,"## given concept: stretching
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be a grid that is the input grid stretched vertically by a factor of 2. This means that each row of pixels in the input grid will be duplicated, effectively doubling the height of the grid while keeping the width the same."
compression,"## given concept: compression
## puzzle description:
In the input, you will see a grid of colored pixels that may contain areas of varying colors. The output should be a grid that represents a compressed version of the input grid, where each contiguous block of the same color is represented by a single pixel of that color. For example, if there is a block of 3 horizontal blue pixels, it will be represented as a single blue pixel in the output. Any rows of pixels that are completely empty should be removed in the output grid."
expansion,"## given concept: expansion
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be a grid where every colored pixel in the input grid becomes a 2x2 block of the same color in the output grid. Any empty space in the input grid remains empty in the output grid. This transformation effectively expands each pixel into a larger square, illustrating the concept of expansion."
falling,"## given concept: falling
## puzzle description:
In the input, you will see a grid of colored pixels that represents different colored blocks suspended in the air. The output should be a grid where every block falls straight down to the lowest available position in each respective column, as if affected by gravity, creating a new configuration without changing the order of the blocks within their columns."
attraction,"## given concept: attraction
## puzzle description:
In the input, you will see a grid of colored pixels arranged in a pattern with clusters of colors. The output should be a grid where each pixel moves towards the nearest neighboring pixel of the same color, creating more defined clusters. For instance, if a red pixel is surrounded by other red pixels at any distance, it will move closer to the center of the nearest red cluster in the output, creating a condensed effect."
repulsion,"## given concept: repulsion
## puzzle description:
In the input, you will see a grid of colored pixels containing several colored squares. The output should be a grid where each colored square from the input moves away from other squares of the same color in a manner that creates distance between them. Each square of the same color should move in a direction that is perpendicular to the line connecting it to the nearest neighboring square of the same color, effectively creating a 'repulsive' effect on the same colors. If a square is on the edge of the grid and has limited space to move, it should remain at the edge but still maintain the maximum distance from other squares of the same color."
fractality,"In the input, you will see a grid of colored pixels that forms a simple pattern, such as a colored square or triangle. The output should be a grid that reproduces the same pattern in a smaller size at each corner of the original grid, creating a larger fractal-like structure. Each smaller copy retains the original colors in the same arrangement as the top-level shape."
rotational symmetry,"In the input, you will see a grid of colored pixels. The output should be a grid that is the input grid rotated 180 degrees (a half-turn) around its center point. This demonstrates the concept of rotational symmetry, where the output matches the input when viewed from two opposite directions."
translational symmetry,"## given concept: translational symmetry
## puzzle description:
In the input, you will see a grid of colored pixels containing a pattern that is composed of shapes repeated in a specific arrangement. The output should be a grid that reproduces the input pattern shifted one unit to the right, maintaining the same vertical alignment. This demonstrates translational symmetry by showcasing how the same design can appear in multiple locations in the grid without any changes to its internal structure."
arithmetic,"## given concept: arithmetic
## puzzle description:
In the input, you will see a grid of colored pixels where each color corresponds to a number from 1 to 10: black = 1, blue = 2, red = 3, yellow = 4, purple = 5, orange = 6, green = 7, brown = 8, grey = 9, pink = 10. The output should be a grid where each pixel's color is determined by adding the values of its corresponding pixel's color and the color of the pixel to its right (wrapping around to the first column after the last). If the sum exceeds 10, it should cycle back around (e.g., 11 becomes 1, 12 becomes 2, etc.)."
addition,"In the input, you will see two grids of colored pixels, each of the same size. The output should be a grid where each pixel color in the output grid is a blend of the corresponding pixels in the input grids. For this puzzle, each color can be represented by a number: black (0), blue (1), red (2), yellow (3), purple (4), orange (5), green (6), brown (7), grey (8), and pink (9). The blending rule is that the color in the output grid corresponds to the numerical sum of the pixel colors from the two input grids, using modulo 10 to ensure that the resulting value corresponds to one of the valid colors. Thus, if the first input grid has a blue pixel (1) and the second input grid has a red pixel (2), the output pixel in that position would be purple (3)."
subtraction,"In the input, you will see two grids of colored pixels, each containing the same height and width. The output should be a grid that represents the subtraction of the second input grid from the first. The rules for subtraction are such that if a pixel in the first grid is the same color as the corresponding pixel in the second grid, that pixel in the output grid will be blank (or a placeholder color such as white). If a pixel in the second grid is a different color from the corresponding pixel in the first grid, then the pixel in the output grid will retain the color of the pixel from the first grid."
fracturing,"## given concept: fracturing
## puzzle description:
In the input, you will see a grid of colored pixels that includes a single solid colored shape (any color) covering a rectangular area. The output should be a grid where the original shape has been 'fractured' into smaller, non-overlapping rectangular sections. Each section should maintain the original color but can be rearranged in different positions within the output grid as long as they do not overlap. The goal is to emphasize the concept of breaking something whole into smaller pieces while demonstrating how they can be reorganized."
cutting,"## given concept: cutting
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be a new grid created by cutting the input grid horizontally at the middle row. The top half of the grid will be retained, and the bottom half will be replaced with white pixels, indicating that part has been 'cut' out. If the grid has an odd number of rows, the middle row should also be kept in the output. This transformation visually demonstrates the concept of cutting based on the specified line."
splitting,"## given concept: splitting
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be two grids, each representing a vertical split of the input grid; the left grid will contain all colors from the left half of the input grid, and the right grid will contain all colors from the right half of the input grid. If the input grid has an odd width, the left grid will contain the extra column on the left side."
fusion,"## given concept: fusion
## puzzle description:
In the input, you will see a grid of colored pixels. The output should be a grid where adjacent pixels of the same color in the input grid have been fused into a single pixel of the same color. For example, if two red pixels are directly next to each other either vertically or horizontally, they should be represented as one red pixel in the output, and this should apply recursively to groups of same-colored pixels."
attachment,"In the input, you will see a grid of colored pixels, with certain colors concentrated in the center and the edges left blank (or a single color). The output should be a grid where the center colors are duplicated and attached to the nearest adjacent edge pixels of the same color, effectively ""growing"" each color outward until they meet at the edges, creating a solid border of that color."
detachment,"## given concept: detachment
## puzzle description:
In the input, you will see a grid of colored pixels. The output will be a grid that retains only the outermost layer of pixels from the input grid, effectively detaching and removing all pixels that are not on the perimeter. This will illustrate the concept of detachment by showing how the internal structure is removed, leaving just the boundary."
